Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,16912,species,Western Wood-Pewee,Contopus sordidulus,,Marsh,US-CA,07 May 2026,L49668294,S334288648,,1
2,34439,species,Western Tanager,Piranga ludoviciana,,Marsh,US-CA,07 May 2026,L50576349,S334282982,,1
3,34346,species,Wilson's Warbler,Cardellina pusilla,,Marsh,US-CA,07 May 2026,L49201708,S334299646,,1
4,16890,species,Olive-sided Flycatcher,Contopus cooperi,,Marsh,US-CA,03 May 2026,L50576349,S332057412,,1
5,33559,species,Yellow-breasted Chat,Icteria virens,,Marsh,US-CA,03 May 2026,L48600448,S331973510,,1
6,34087,species,Northern Yellow Warbler,Setophaga aestiva,,Marsh,US-CA,02 May 2026,L49201708,S331177047,,1
7,33833,species,Brown-headed Cowbird,Molothrus ater,,Marsh,US-CA,02 May 2026,L50576349,S331128278,,1
8,17323,species,Ash-throated Flycatcher,Myiarchus cinerascens,,Marsh,US-CA,02 May 2026,L50576349,S331128133,,1
9,267,species,Snow Goose,Anser caerulescens,,Marsh,US-CA,13 Apr 2026,L49668294,S321411589,,1
10,2031,species,Eurasian Collared-Dove,Streptopelia decaocto,,Marsh,US-CA,10 Apr 2026,L62425371,S319812585,N,1
11,24106,species,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,Marsh,US-CA,10 Apr 2026,L62425371,S319798891,,1
12,27813,species,European Starling,Sturnus vulgaris,,Cerritos Park,US-CA,29 Mar 2026,L61332247,S314574318,N,1
13,17461,species,Cassin's Kingbird,Tyrannus vociferans,,Cerritos Park,US-CA,29 Mar 2026,L61332247,S314574235,,1
14,6931,species,Pacific Loon,Gavia pacifica,,Manhattan Beach Pier,US-CA,22 Mar 2026,L60841583,S312201339,,1
15,21476,species,Black-billed Magpie,Pica hudsonia,,Steamboat,US-CO,02 Mar 2026,L59496571,S305446947,,1
16,21181,species,Canada Jay,Perisoreus canadensis,,Steamboat,US-CO,02 Mar 2026,L59496571,S305393260,,1
17,3038,species,Greater Roadrunner,Geococcyx californianus,,Marsh,US-CA,22 Feb 2026,L48601161,S303074697,,1
18,32609,species,Lesser Goldfinch,Spinus psaltria,,Marsh,US-CA,15 Feb 2026,L48600448,S301024234,,1
19,6051,species,Marbled Godwit,Limosa fedoa,,Bolsa Chica,US-CA,01 Feb 2026,L57934851,S297540639,,1
20,6521,species,Ring-billed Gull,Larus delawarensis,,Marsh,US-CA,16 Jan 2026,L48599427,S294576525,,1
21,673,species,Ring-necked Duck,Aythya collaris,,Pond 2-3,US-CA,16 Jan 2026,L47458075,S294576132,,1
22,33196,species,Golden-crowned Sparrow,Zonotrichia atricapilla,,Golden Gardens,US-WA,29 Dec 2025,L56529405,S291039275,,1
23,748,species,Barrow's Goldeneye,Bucephala islandica,,Carkeek Park,US-WA,29 Dec 2025,L56283885,S291016564,,1
24,27362,species,Bewick's Wren,Thryomanes bewickii,,Carkeek Park,US-WA,28 Dec 2025,L56283885,S290807831,,1
25,26848,species,Golden-crowned Kinglet,Regulus satrapa,,Carkeek Park,US-WA,27 Dec 2025,L56283885,S290579473,,1
26,27288,species,Pacific Wren,Troglodytes pacificus,,Carkeek Park,US-WA,27 Dec 2025,L56283885,S290567381,,1
27,10306,species,Belted Kingfisher,Megaceryle alcyon,,Carkeek Park,US-WA,27 Dec 2025,L56283885,S290566659,,1
28,6596,species,Glaucous-winged Gull,Larus glaucescens,,Carkeek Park,US-WA,24 Dec 2025,L56283885,S290025109,,1
29,728,species,Surf Scoter,Melanitta perspicillata,,Carkeek Park,US-WA,24 Dec 2025,L56283885,S290024262,,1
30,27026,species,Brown Creeper,Certhia americana,,Carkeek Park,US-WA,24 Dec 2025,L56283885,S290016288,,1
31,21624,species,Common Raven,Corvus corax,,Carkeek Park,US-WA,24 Dec 2025,L56283885,S290011097,,1
32,22094,species,Chestnut-backed Chickadee,Poecile rufescens,,Carkeek Park,US-WA,24 Dec 2025,L56283885,S290010219,,1
33,28633,species,American Robin,Turdus migratorius,,Carkeek Park,US-WA,24 Dec 2025,L56283885,S290009180,,1
34,743,species,Common Goldeneye,Bucephala clangula,,Carkeek Park,US-WA,24 Dec 2025,L56283885,S290006794,,1
35,22065,species,Black-capped Chickadee,Poecile atricapillus,,Union Bay Natural Area,US-WA,23 Dec 2025,L56252803,S289869844,,1
36,8367,species,Bald Eagle,Haliaeetus leucocephalus,,Union Bay Natural Area,US-WA,23 Dec 2025,L56252803,S289865497,,1
37,8064,species,Golden Eagle,Aquila chrysaetos,,Union Bay Natural Area,US-WA,23 Dec 2025,L56252803,S289866313,,1
38,21274,species,Steller's Jay,Cyanocitta stelleri,,Union Bay Natural Area,US-WA,23 Dec 2025,L56252803,S289874598,,1
39,754,species,Hooded Merganser,Lophodytes cucullatus,,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",US-CA,06 Dec 2025,L109339,S287514134,,1
40,17029,species,Vermilion Flycatcher,Pyrocephalus rubinus,,Marsh,US-CA,06 Dec 2025,L48467811,S287524035,,1
41,29888,species,Cedar Waxwing,Bombycilla cedrorum,,Marsh,US-CA,02 Dec 2025,L49201960,S287071164,,1
42,7724,species,Western Cattle-Egret,Ardea ibis,,Marsh,US-CA,02 Dec 2025,L49670911,S287070118,,1
43,31534,species,House Sparrow,Passer domesticus,,Schats,US-CA,23 Nov 2025,L55395113,S285838547,N,1
44,33851,species,Brewer's Blackbird,Euphagus cyanocephalus,,Schats,US-CA,23 Nov 2025,L55395014,S285838177,,1
45,33124,species,Dark-eyed Junco,Junco hyemalis,,Huntington Beach Park East,US-CA,11 Nov 2025,L55034188,S284071324,,1
46,17010,species,Say's Phoebe,Sayornis saya,,Huntington Beach Park East,US-CA,11 Nov 2025,L55034188,S284071056,,1
47,34206,species,Townsend's Warbler,Setophaga townsendi,,Huntington Beach Park East,US-CA,11 Nov 2025,L55034188,S284070796,,1
48,26844,species,Ruby-crowned Kinglet,Corthylio calendula,,Huntington Beach Park East,US-CA,11 Nov 2025,L55034188,S284070831,,1
49,11400,species,Downy Woodpecker,Dryobates pubescens,,Huntington Beach Park East,US-CA,11 Nov 2025,L55034188,S284068443,,1
50,34058,species,American Redstart,Setophaga ruticilla,,Huntington Beach Park East,US-CA,11 Nov 2025,L55034188,S284064795,,1
51,6731,species,Forster's Tern,Sterna forsteri,,Bolsa Chica State Park,US-CA,11 Nov 2025,L51979363,S284050143,,1
52,33244,species,Savannah Sparrow,Passerculus sandwichensis,,Bolsa Chica State Park,US-CA,11 Nov 2025,L51981386,S284035890,,1
53,7591,species,Yellow-crowned Night Heron,Nyctanassa violacea,,Bolsa Chica State Park,US-CA,11 Nov 2025,L51981386,S284034577,,1
54,7629,species,Little Blue Heron,Egretta caerulea,,Bolsa Chica State Park,US-CA,11 Nov 2025,L51979363,S284033946,,1
55,7630,species,Tricolored Heron,Egretta tricolor,,Bolsa Chica State Park,US-CA,11 Nov 2025,L51979363,S284033332,,1
56,314,species,Brant,Branta bernicla,,Bolsa Chica State Park,US-CA,11 Nov 2025,L51979363,S284032489,,1
57,742,species,Bufflehead,Bucephala albeola,,Bolsa Chica State Park,US-CA,11 Nov 2025,L51979363,S284028445,,1
58,700,species,Lesser Scaup,Aythya affinis,,Bolsa Chica State Park,US-CA,11 Nov 2025,L51979363,S284027716,,1
59,770,species,Red-breasted Merganser,Mergus serrator,,Bolsa Chica State Park,US-CA,11 Nov 2025,L51979363,S284026289,,1
60,28114,species,Northern Mockingbird,Mimus polyglottos,,Marsh,US-CA,08 Nov 2025,L49201708,S283504342,,1
61,12028,species,American Kestrel,Falco sparverius,,Marsh,US-CA,04 Nov 2025,L50576349,S282881433,,1
62,594,species,Northern Pintail,Anas acuta,,Back Bay Trail,US-CA,01 Nov 2025,L54684188,S282426571,,1
63,517,species,American Wigeon,Mareca americana,,Back Bay Trail,US-CA,01 Nov 2025,L54684188,S282425834,,1
64,33187,species,White-crowned Sparrow,Zonotrichia leucophrys,,Marsh,US-CA,31 Oct 2025,L49409669,S282238450,,1
65,34159,species,Yellow-rumped Warbler,Setophaga coronata,,Marsh,US-CA,31 Oct 2025,L49201708,S282238299,,1
66,27123,species,Blue-gray Gnatcatcher,Polioptila caerulea,,Marsh,US-CA,31 Oct 2025,L52185256,S282237435,,1
67,8324,species,Northern Harrier,Circus hudsonius,,Marsh,US-CA,31 Oct 2025,L52185256,S282237766,,1
68,6876,species,Eared Grebe,Podiceps nigricollis,,Marsh,US-CA,31 Oct 2025,L49409669,S282237721,,1
69,5369,species,Buff-banded Rail,Gallirallus philippensis,,Botanical Gardens,AU-QLD,25 Oct 2025,L54419400,S281176853,,1
70,19784,species,Pied Butcherbird,Cracticus nigrogularis,,Broadbeach,AU-QLD,24 Oct 2025,L54387610,S281026978,,1
71,21861,species,Eastern Yellow Robin,Eopsaltria australis,,Coombabah Lake,AU-QLD,23 Oct 2025,L54357238,S280879144,,1
72,19604,species,Olive-backed Oriole,Oriolus sagittatus,,Coombabah Lake,AU-QLD,23 Oct 2025,L54357238,S280878462,,1
73,10179,species,Sacred Kingfisher,Todiramphus sanctus,,Coombabah Lake,AU-QLD,23 Oct 2025,L54357238,S280877361,,1
74,7528,species,Royal Spoonbill,Platalea regia,,Coombabah Lake,AU-QLD,23 Oct 2025,L54357238,S280877378,,1
75,6133,species,Gray-tailed Tattler,Tringa brevipes,,Esplanade Boardwalk,AU-QLD,21 Oct 2025,L54256873,S280587801,,1
76,7650,species,Little Egret,Egretta garzetta,,Esplanade Boardwalk,AU-QLD,21 Oct 2025,L54256873,S280587251,,1
77,6181,species,Sharp-tailed Sandpiper,Calidris acuminata,,Esplanade Boardwalk,AU-QLD,21 Oct 2025,L54256873,S280586714,,1
78,6186,species,Red-necked Stint,Calidris ruficollis,,Esplanade Boardwalk,AU-QLD,21 Oct 2025,L54256873,S280586464,,1
79,6024,species,Far Eastern Curlew,Numenius madagascariensis,,Esplanade Boardwalk,AU-QLD,21 Oct 2025,L54256873,S280585346,,1
80,7661,species,White-faced Heron,Egretta novaehollandiae,,Cairns Night Market,AU-QLD,21 Oct 2025,L54228958,S280583887,,1
81,30117,species,Mistletoebird,Dicaeum hirundinaceum,,Smithfield,AU-QLD,21 Oct 2025,L54297680,S280582102,,1
82,18194,species,Helmeted Friarbird,Philemon buceroides,,Kuranda,AU-QLD,21 Oct 2025,L54294993,S280571040,,1
83,7741,species,Plumed Egret,Ardea plumifera,,Cairns Night Market,AU-QLD,20 Oct 2025,L54228958,S280444979,,1
84,7641,species,Pacific Reef-Heron,Egretta sacra,,Cairns Night Market,AU-QLD,20 Oct 2025,L54228958,S280444914,,1
85,6673,species,Bridled Tern,Onychoprion anaethetus,,Moore Reef,AU-QLD,20 Oct 2025,L54264516,S280424142,,1
86,6792,species,Great Crested Tern,Thalasseus bergii,,Cairns Harbor,AU-QLD,20 Oct 2025,L54261017,S280408117,,1
87,17873,species,Varied Honeyeater,Gavicalis versicolor,,North Esplanade Boardwalk,AU-QLD,20 Oct 2025,L54257590,S280394321,,1
88,2841,species,Torresian Imperial-Pigeon,Ducula spilorrhoa,,Esplanade Boardwalk,AU-QLD,20 Oct 2025,L54256873,S280392883,,1
89,2233,species,Peaceful Dove,Geopelia placida,,North Esplanade Boardwalk,AU-QLD,20 Oct 2025,L54257590,S280392406,,1
90,7610,species,Nankeen Night Heron,Nycticorax caledonicus,,Esplanade Boardwalk,AU-QLD,20 Oct 2025,L54256873,S280389941,,1
91,19738,species,White-breasted Woodswallow,Artamus leucorynchus,,Esplanade Boardwalk,AU-QLD,20 Oct 2025,L54256873,S280389082,,1
92,19708,species,Australasian Figbird,Sphecotheres vieilloti,,Shangri La Gardens,AU-QLD,20 Oct 2025,L54255920,S280386577,,1
93,27698,species,Metallic Starling,Aplonis metallica,,Shangri La Gardens,AU-QLD,20 Oct 2025,L54255920,S280384674,,1
94,24184,species,Welcome Swallow,Hirundo neoxena,,Cairns Night Market,AU-QLD,20 Oct 2025,L54228958,S280390312,,1
95,5750,species,Bush Thick-knee,Burhinus grallarius,,Cairns Night Market,AU-QLD,19 Oct 2025,L54228958,S280258742,,1
96,18079,species,Brown Honeyeater,Lichmera indistincta,,Cairns Airport,AU-QLD,19 Oct 2025,L54223303,S280235913,,1
97,17661,species,Variegated Fairywren,Malurus lamberti,,Sydney Harbor National Park,AU-NSW,17 Oct 2025,L54126667,S279794065,,1
98,6840,species,Australasian Grebe,Tachybaptus novaehollandiae,,Old Quarry Swamp,AU-NSW,17 Oct 2025,L54126493,S279793220,,1
99,7414,species,Pied Cormorant,Phalacrocorax varius,,Manly Beach,AU-NSW,17 Oct 2025,L54125663,S279789591,,1
101,17670,species,Superb Fairywren,Malurus cyaneus,,Centennial Park,AU-NSW,16 Oct 2025,L54089330,S279611825,,1
102,7375,species,Australasian Darter,Anhinga novaehollandiae,,Centennial Park,AU-NSW,16 Oct 2025,L54089330,S279611058,,1
103,685,species,Hardhead,Aythya australis,,Centennial Park,AU-NSW,16 Oct 2025,L54089330,S279610586,,1
104,7801,species,Australian Pelican,Pelecanus conspicillatus,,Centennial Park,AU-NSW,16 Oct 2025,L54089330,S279610248,,1
105,5525,species,Australasian Swamphen,Porphyrio melanotus,,Centennial Park,AU-NSW,16 Oct 2025,L54089330,S279609314,,1
